news_id,company_word,pk,symbol,name,stock_keyword_5
413261,bank of america,860,BAC,Bank of America Corporation,"['opec', 'brent', 'refinery', 'oil', 'slump']"
413261,merrill lynch,6172,PYS,Merrill Lynch Depositor Inc PPlus Tr Ser RRD-1 Tr Ctf Cl A,"['opec', 'brent', 'refinery', 'oil', 'slump']"
413262,north american,5278,NOA,North American Construction Group Ltd,"['abe', 'shareholder', 'investor', 'corporate', 'investment']"
413266,ubs,7597,UBS,UBS Group AG Registered Ordinary Shares,"['easing', 'recession', 'banking', 'lending', 'bank']"
413266,deutsche bank,2105,DB,Deutsche Bank AG,"['easing', 'recession', 'banking', 'lending', 'bank']"
413275,the european,2427,EEA,The European Equity Fund Inc,"['proposal', 'eu']"
413279,alphabet,3359,GOOG,Alphabet Inc,"['dublin', 'quay', 'google', 'ireland', 'apartment']"
413279,google,3359,GOOG,Alphabet Inc,"['dublin', 'quay', 'google', 'ireland', 'apartment']"
413279,facebook,2746,FB,Meta Platforms Inc,"['dublin', 'quay', 'google', 'ireland', 'apartment']"
413279,twitter,7565,TWTR,Twitter Inc,"['dublin', 'quay', 'google', 'ireland', 'apartment']"
413279,cbre,1422,CBRE,CBRE Group Inc  Class A,"['dublin', 'quay', 'google', 'ireland', 'apartment']"
413283,chevron,2042,CVX,Chevron Corporation,"['fuel', 'petroleum', 'gas', 'renewables', 'liquefied']"
413283,royal dutch,6738,SHEL,Royal Dutch Shell PLC,"['fuel', 'petroleum', 'gas', 'renewables', 'liquefied']"
413283,clean energy,1678,CLNE,Clean Energy Fuels Corp,"['fuel', 'petroleum', 'gas', 'renewables', 'liquefied']"
413283,natural gas,5202,NGS,Natural Gas Services Group Inc,"['fuel', 'petroleum', 'gas', 'renewables', 'liquefied']"
413284,microsoft,4996,MSFT,Microsoft Corporation,"['uae', 'emirate', 'emirati', 'israeli', 'israel']"
413285,air transport,744,ATSG,Air Transport Services Group Inc,"['headrest', 'seating', 'airline', 'cabin', 'coronavirus']"
413299,s&p,6958,SPGI,S&P Global Inc,"['market', 'stock', 'investor', 'bse', 'investment']"
413299,unilever,7628,UL,Unilever PLC,"['market', 'stock', 'investor', 'bse', 'investment']"
413299,msci,4991,MSCI,MSCI Inc,"['market', 'stock', 'investor', 'bse', 'investment']"
413299,asia pacific,560,APWC,Asia Pacific Wire & Cable Corporation Ltd,"['market', 'stock', 'investor', 'bse', 'investment']"
413303,s&p,6958,SPGI,S&P Global Inc,"['evergrande', 'jiangsu', 'yuan', 'hunan', 'concernshui']"
413304,apple,21,AAPL,Apple Inc,"['nasdaq', 'stock', 'market', 'future', 'investor']"
413304,microsoft,4996,MSFT,Microsoft Corporation,"['nasdaq', 'stock', 'market', 'future', 'investor']"
413304,amazon,477,AMZN,Amazon,"['nasdaq', 'stock', 'market', 'future', 'investor']"
413304,tesla,7502,TSLA,Tesla Inc,"['nasdaq', 'stock', 'market', 'future', 'investor']"
413304,s&p,6958,SPGI,S&P Global Inc,"['nasdaq', 'stock', 'market', 'future', 'investor']"
413304,dow,2267,DOW,Dow Inc,"['nasdaq', 'stock', 'market', 'future', 'investor']"
413304,nasdaq,5144,NDAQ,Nasdaq Inc,"['nasdaq', 'stock', 'market', 'future', 'investor']"
413304,s&p 500,1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"['nasdaq', 'stock', 'market', 'future', 'investor']"
413325,microsoft,4996,MSFT,Microsoft Corporation,"['musk', 'volkswagen', 'tesla', 'ceo', 'vw']"
413325,tesla,7502,TSLA,Tesla Inc,"['musk', 'volkswagen', 'tesla', 'ceo', 'vw']"
413327,s&p,6958,SPGI,S&P Global Inc,"['investor', 'investment', 'market', 'indian', 'india']"
413327,icici,3798,IBN,ICICI Bank Limited,"['investor', 'investment', 'market', 'indian', 'india']"
413327,fidelity,2851,FIS,Fidelity National Information Services Inc,"['investor', 'investment', 'market', 'indian', 'india']"
413327,msci,4991,MSCI,MSCI Inc,"['investor', 'investment', 'market', 'indian', 'india']"
413327,aberdeen standard,658,ASGI,Aberdeen Standard Global Infrastructure Income Fd,"['investor', 'investment', 'market', 'indian', 'india']"
413329,goldman sachs,3418,GS,Goldman Sachs Group Inc,"['ringgit', 'malaysian', 'currency', 'bond', 'malaysia']"
413344,apple,21,AAPL,Apple Inc,"['huawei', 'taiwan', 'demand', 'chinese', 'smartphones']"
413344,microsoft,4996,MSFT,Microsoft Corporation,"['huawei', 'taiwan', 'demand', 'chinese', 'smartphones']"
413347,tsmc,7504,TSM,Taiwan Semiconductor Manufacturing Company Ltd,"['huawei', 'hua', 'hong', 'chinese', 'beijing']"
413347,citigroup,1360,C,Citigroup Inc,"['huawei', 'hua', 'hong', 'chinese', 'beijing']"
413347,united microelectronics,7634,UMC,United Microelectronics Corporation,"['huawei', 'hua', 'hong', 'chinese', 'beijing']"
413347,global industrial,3226,GIC,Global Industrial Company,"['huawei', 'hua', 'hong', 'chinese', 'beijing']"
413349,morningstar,4934,MORN,Morningstar Inc,"['renewables', 'renewable', 'coal', 'efficiency', 'energy']"
413349,ihs,3865,IHS,IHS Holding Limited Ordinary Shares,"['renewables', 'renewable', 'coal', 'efficiency', 'energy']"
413349,clean energy,1678,CLNE,Clean Energy Fuels Corp,"['renewables', 'renewable', 'coal', 'efficiency', 'energy']"
415143,blackrock,1113,BLK,BlackRock Inc,"['fund', 'invest', 'investor', 'financial', 'investment']"
415143,fidelity,2851,FIS,Fidelity National Information Services Inc,"['fund', 'invest', 'investor', 'financial', 'investment']"
415143,rowe price,7464,TROW,T,"['fund', 'invest', 'investor', 'financial', 'investment']"
415143,northern trust,5374,NTRS,Northern Trust Corporation,"['fund', 'invest', 'investor', 'financial', 'investment']"
415143,federated hermes,2825,FHI,Federated Hermes Inc,"['fund', 'invest', 'investor', 'financial', 'investment']"
415148,apple,21,AAPL,Apple Inc,"['stock', 'nasdaq', 'selloff', 'surge', 'market']"
415148,tesla,7502,TSLA,Tesla Inc,"['stock', 'nasdaq', 'selloff', 'surge', 'market']"
415148,s&p,6958,SPGI,S&P Global Inc,"['stock', 'nasdaq', 'selloff', 'surge', 'market']"
415148,dow,2267,DOW,Dow Inc,"['stock', 'nasdaq', 'selloff', 'surge', 'market']"
415148,mizuho,4788,MFG,Mizuho Financial Group Inc,"['stock', 'nasdaq', 'selloff', 'surge', 'market']"
415148,nasdaq,5144,NDAQ,Nasdaq Inc,"['stock', 'nasdaq', 'selloff', 'surge', 'market']"
415148,s&p 500,1341,BXMX,Nuveen S&P 500 Buy-Write Income Fd,"['stock', 'nasdaq', 'selloff', 'surge', 'market']"
415148,merrill lynch,6172,PYS,Merrill Lynch Depositor Inc PPlus Tr Ser RRD-1 Tr Ctf Cl A,"['stock', 'nasdaq', 'selloff', 'surge', 'market']"
415150,uber,7591,UBER,Uber Technologies Inc,"['uber', 'ridership', 'ride', 'ev', 'driver']"
415150,lyft,4634,LYFT,Lyft Inc,"['uber', 'ridership', 'ride', 'ev', 'driver']"
415151,bank of america,860,BAC,Bank of America Corporation,"['bank', 'lending', 'financial', 'bankblack', 'lender']"
415154,bank of america,860,BAC,Bank of America Corporation,"['opec', 'brent', 'refinery', 'oil', 'slump']"
415154,merrill lynch,6172,PYS,Merrill Lynch Depositor Inc PPlus Tr Ser RRD-1 Tr Ctf Cl A,"['opec', 'brent', 'refinery', 'oil', 'slump']"
415157,digital transformation,2324,DTOC,Digital Transformation Opportunities Corp,"['capitalist', 'capitalistic', 'capitalism', 'policymakers', 'government']"
415157,social capital,2242,DNAA,Social Capital Suvretta Holdings Corp,"['capitalist', 'capitalistic', 'capitalism', 'policymakers', 'government']"
415180,mastercard,4644,MA,Mastercard Incorporated,"['mastercard', 'bankcard', 'fintech', 'fintechs', 'bank']"
415180,grab holdings,3387,GRAB,Grab Holdings Limited Class A Ordinary Shares,"['mastercard', 'bankcard', 'fintech', 'fintechs', 'bank']"
415184,microsoft,4996,MSFT,Microsoft Corporation,"['inflation', 'pandemic', 'moscow', 'economy', 'forecasting']"
415184,emerging markets,3657,HORI,Emerging Markets Horizon Corp,"['inflation', 'pandemic', 'moscow', 'economy', 'forecasting']"
415185,sumitomo,6860,SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,"['gdp', 'economy', 'economist', 'abenomics', 'shinzo']"
415185,nomura,5261,NMR,Nomura Holdings Inc ADR,"['gdp', 'economy', 'economist', 'abenomics', 'shinzo']"
415188,caterpillar,1407,CAT,Caterpillar Inc,"['pest', 'armyworm', 'agriculture', 'caterpillar', 'sorghum']"
415190,msci,4991,MSCI,MSCI Inc,"['coronavirus', 'pandemic', 'covid', 'invest', 'emerging']"
415191,manchester united,4663,MANU,Manchester United Ltd,"['diet', 'nutrition', 'supermarket', 'lynn', 'poverty']"
415192,national health,5207,NHI,National Health Investors Inc,"['coronavirus', 'outbreak', 'pandemic', 'virus', 'infected']"
415193,microsoft,4996,MSFT,Microsoft Corporation,"['recession', 'philippine', 'manila', 'covid', 'pandemic']"
415210,sap,6572,SAP,SAP  SE ADS,"['loan', 'investor', 'yassin', 'malaysian', 'mortgage']"
415210,msci,4991,MSCI,MSCI Inc,"['loan', 'investor', 'yassin', 'malaysian', 'mortgage']"
415210,asia pacific,560,APWC,Asia Pacific Wire & Cable Corporation Ltd,"['loan', 'investor', 'yassin', 'malaysian', 'mortgage']"
415216,visa,7719,V,Visa Inc,"['shanghai', 'singapore', 'chinese', 'china', 'investor']"
415216,alibaba group,859,BABA,Alibaba Group Holding Limited,"['shanghai', 'singapore', 'chinese', 'china', 'investor']"
415216,mastercard,4644,MA,Mastercard Incorporated,"['shanghai', 'singapore', 'chinese', 'china', 'investor']"
415216,blackrock,1113,BLK,BlackRock Inc,"['shanghai', 'singapore', 'chinese', 'china', 'investor']"
415216,paypal,6170,PYPL,PayPal Holdings Inc,"['shanghai', 'singapore', 'chinese', 'china', 'investor']"
