,symbol,name,company,stock_keyword,stock_frequency_keyword_4,stock_frequency_keyword_5
376,KHC,The Kraft Heinz Company,kraft,"['renewable', 'renewables', 'solar', 'blaze', 'firefighter']","['renewable', 'renewables', 'solar', 'blaze']","['renewable', 'renewables', 'solar', 'blaze', 'firefighter']"
377,SYY,Sysco Corporation,sysco,"['africa', 'pandemic', 'ethiopia', 'risk', 'coronavirus']","['africa', 'pandemic', 'ethiopia', 'risk']","['africa', 'pandemic', 'ethiopia', 'risk', 'coronavirus']"
378,ATVI,Activision Blizzard Inc,blizzard,"['shareholder', 'takeover', 'gmbh', 'investor', 'koch']","['shareholder', 'takeover', 'gmbh', 'investor']","['shareholder', 'takeover', 'gmbh', 'investor', 'koch']"
379,IGT,International Game Technology Ordinary Shares,international game,"['shareholder', 'takeover', 'gmbh', 'investor', 'koch']","['shareholder', 'takeover', 'gmbh', 'investor']","['shareholder', 'takeover', 'gmbh', 'investor', 'koch']"
380,PLD,Prologis Inc,prologis,"['bond', 'treasury', 'borrowing', 'emerging', 'investor']","['bond', 'treasury', 'borrowing', 'emerging']","['bond', 'treasury', 'borrowing', 'emerging', 'investor']"
381,GIS,General Mills Inc,general mills,"['bond', 'treasury', 'borrowing', 'emerging', 'investor']","['bond', 'treasury', 'borrowing', 'emerging']","['bond', 'treasury', 'borrowing', 'emerging', 'investor']"
382,WDAY,Workday Inc,workday inc,"['bond', 'treasury', 'borrowing', 'emerging', 'investor']","['bond', 'treasury', 'borrowing', 'emerging']","['bond', 'treasury', 'borrowing', 'emerging', 'investor']"
383,DRE,Duke Realty Corporation,duke realty,"['bond', 'treasury', 'borrowing', 'emerging', 'investor']","['bond', 'treasury', 'borrowing', 'emerging']","['bond', 'treasury', 'borrowing', 'emerging', 'investor']"
384,COLD,Americold Realty Trust Common Shares,americold realty,"['bond', 'treasury', 'borrowing', 'emerging', 'investor']","['bond', 'treasury', 'borrowing', 'emerging']","['bond', 'treasury', 'borrowing', 'emerging', 'investor']"
385,CNS,Cohen & Steers Inc,cohen &,"['bond', 'treasury', 'borrowing', 'emerging', 'investor']","['bond', 'treasury', 'borrowing', 'emerging']","['bond', 'treasury', 'borrowing', 'emerging', 'investor']"
386,HCA,HCA Healthcare Inc,hca,"['banking', 'bank', 'indonesia', 'currency', 'fiscal']","['banking', 'bank', 'indonesia', 'currency']","['banking', 'bank', 'indonesia', 'currency', 'fiscal']"
387,CENX,Century Aluminum Company,century aluminum,"['lumihealth', 'iphone', 'apple', 'wellness', 'singapore']","['lumihealth', 'iphone', 'apple', 'wellness']","['lumihealth', 'iphone', 'apple', 'wellness', 'singapore']"
388,LEV,The Lion Electric Company Common Shares,the lion,"['coronavirus', 'vaccine', 'pandemic', 'covid', 'outbreak']","['coronavirus', 'vaccine', 'pandemic', 'covid']","['coronavirus', 'vaccine', 'pandemic', 'covid', 'outbreak']"
389,NBH,Neuberger Berman Municipal Fund Inc,neuberger berman,"['coronavirus', 'vaccine', 'pandemic', 'covid', 'outbreak']","['coronavirus', 'vaccine', 'pandemic', 'covid']","['coronavirus', 'vaccine', 'pandemic', 'covid', 'outbreak']"
390,ICE,Intercontinental Exchange Inc,ice futures,"['tariff', 'shortage', 'demand', 'supply', 'canadian']","['tariff', 'shortage', 'demand', 'supply']","['tariff', 'shortage', 'demand', 'supply', 'canadian']"
391,BTO,John Hancock Financial Opportunities Fd,john hancock,"['coffee', 'bean', 'starbucks', 'nespresso', 'podsmeanwhile']","['coffee', 'bean', 'starbucks', 'nespresso']","['coffee', 'bean', 'starbucks', 'nespresso', 'podsmeanwhile']"
392,VRSK,Verisk Analytics Inc,verisk,"['ecb', 'loan', 'bank', 'borrowing', 'leverage']","['ecb', 'loan', 'bank', 'borrowing']","['ecb', 'loan', 'bank', 'borrowing', 'leverage']"
393,GNL,Global Net Lease Inc,global net,"['banking', 'bank', 'nigerian', 'nigeria', 'financial']","['banking', 'bank', 'nigerian', 'nigeria']","['banking', 'bank', 'nigerian', 'nigeria', 'financial']"
394,QSR,Restaurant Brands International Inc,restaurant brands,"['caixabank', 'bankia', 'banco', 'banking', 'bank']","['caixabank', 'bankia', 'banco', 'banking']","['caixabank', 'bankia', 'banco', 'banking', 'bank']"
395,VIRT,Virtu Financial Inc,virtu financial,"['shareholder', 'market', 'supply', 'financing', 'lng']","['shareholder', 'market', 'supply', 'financing']","['shareholder', 'market', 'supply', 'financing', 'lng']"
396,GLPI,Gaming and Leisure Properties Inc,gaming and,"['investor', 'richest', 'tfi', 'shenzhen', 'investment']","['investor', 'richest', 'tfi', 'shenzhen']","['investor', 'richest', 'tfi', 'shenzhen', 'investment']"
397,SLF,Sun Life Financial Inc,sun life,"['nasdaq', 'nyse', 'exchange', 'stock', 'broker']","['nasdaq', 'nyse', 'exchange', 'stock']","['nasdaq', 'nyse', 'exchange', 'stock', 'broker']"
